client,bank,context,salt,label,macro_contribution_change_exact,capture_change,valid_positive_P00_gain
19,A,clean,T013-S0,2,0,0.0,True
19,A,clean,T013-S0,7,0,0.0,True
20,A,clean,T013-S0,6,0,,False
21,A,clean,T013-S0,4,0,0.0,True
22,A,clean,T013-S0,1,0,,False
22,A,clean,T013-S0,2,0,,False
23,A,clean,T013-S0,0,19911010/429505161,1.1722274488655697,True
23,A,clean,T013-S0,2,0,0.0,True
23,A,clean,T013-S0,5,60115/1133259,1.341345502842993,True
23,A,clean,T013-S0,8,60115/1133259,1.341345502842993,True
23,A,clean,T013-S0,9,0,0.0,True
24,A,clean,T013-S0,3,0,0.0,True
24,A,clean,T013-S0,7,0,0.0,True
24,A,clean,T013-S0,9,3626204/273447525,0.2854541616595935,True
25,A,clean,T013-S0,0,0,,False
25,A,clean,T013-S0,1,0,,False
25,A,clean,T013-S0,4,4/299,,False
26,A,clean,T013-S0,5,0,,False
26,A,clean,T013-S0,6,0,,False
27,A,clean,T013-S0,1,18/299,0.3103448275862069,True
28,A,clean,T013-S0,0,0,,False
28,A,clean,T013-S0,2,0,,False
28,A,clean,T013-S0,3,-5/741,,False
28,A,clean,T013-S0,4,0,,False
28,A,clean,T013-S0,5,0,,False
28,A,clean,T013-S0,8,0,,False
29,A,clean,T013-S0,1,0,0.0,True
30,A,clean,T013-S0,2,4039/25150,0.5712063357375194,True
30,A,clean,T013-S0,4,0,0.0,True
30,A,clean,T013-S0,5,2003/25150,0.2832696931127139,True
31,A,clean,T013-S0,8,0,0.0,True
32,A,clean,T013-S0,0,0,0.0,True
32,A,clean,T013-S0,2,0,0.0,True
32,A,clean,T013-S0,4,0,0.0,True
32,A,clean,T013-S0,5,0,0.0,True
32,A,clean,T013-S0,8,0,0.0,True
33,A,clean,T013-S0,0,0,,False
33,A,clean,T013-S0,3,33175/561678,,False
34,A,clean,T013-S0,2,5075/372723,1.027327935222672,True
34,A,clean,T013-S0,3,0,0.0,True
34,A,clean,T013-S0,8,0,0.0,True
35,A,clean,T013-S0,1,11918/224549,,False
35,A,clean,T013-S0,8,0,,False
36,A,clean,T013-S0,0,0,0.0,True
36,A,clean,T013-S0,1,0,0.0,True
36,A,clean,T013-S0,6,0,0.0,True
36,A,clean,T013-S0,7,15175/1151358,1.9875573018991486,True
36,A,clean,T013-S0,9,10/1527,0.9875573018991487,True
37,A,clean,T013-S0,2,0,0.0,True
37,A,clean,T013-S0,6,0,0.0,True
37,A,clean,T013-S0,9,0,0.0,True
38,A,clean,T013-S0,8,0,,False
39,A,clean,T013-S0,2,0,0.0,True
40,A,clean,T013-S0,9,-5/741,,False
41,A,clean,T013-S0,0,0,,False
41,A,clean,T013-S0,1,0,,False
41,A,clean,T013-S0,3,-1285/185497,,False
41,A,clean,T013-S0,9,0,,False
42,A,clean,T013-S0,0,2202895/171001389,1.0400831161865516,True
42,A,clean,T013-S0,1,0,0.0,True
42,A,clean,T013-S0,2,2202895/171001389,1.0400831161865516,True
43,A,clean,T013-S0,0,0,0.0,True
43,A,clean,T013-S0,4,0,0.0,True
44,A,clean,T013-S0,0,0,0.0,True
44,A,clean,T013-S0,8,5/751,1.0093209054593875,True
44,A,clean,T013-S0,9,5/751,1.0093209054593875,True
45,A,clean,T013-S0,2,0,0.0,True
45,A,clean,T013-S0,4,0,0.0,True
45,A,clean,T013-S0,5,0,0.0,True
45,A,clean,T013-S0,8,0,0.0,True
46,A,clean,T013-S0,2,0,0.0,True
46,A,clean,T013-S0,4,0,0.0,True
46,A,clean,T013-S0,5,0,0.0,True
47,A,clean,T013-S0,0,0,,False
47,A,clean,T013-S0,1,0,,False
47,A,clean,T013-S0,2,0,,False
47,A,clean,T013-S0,4,0,,False
47,A,clean,T013-S0,8,0,,False
48,A,clean,T013-S0,4,-2131815/106590718,-0.6019092229699683,True
48,A,clean,T013-S0,7,-1915/285766,-0.20167826402447375,True
48,A,clean,T013-S0,9,-1875/140621,-0.4012841091492777,True
49,A,clean,T013-S0,1,0,0.0,True
49,A,clean,T013-S0,3,-303/5681,-2.6735294117647057,True
50,A,clean,T013-S0,2,1331651/22559550,0.9890478068504311,True
50,A,clean,T013-S0,5,0,0.0,True
51,A,clean,T013-S0,3,0,,False
51,A,clean,T013-S0,4,0,,False
51,A,clean,T013-S0,9,0,,False
52,A,clean,T013-S0,0,0,,False
52,A,clean,T013-S0,2,0,,False
53,A,clean,T013-S0,1,114/8671,0.48822269807280516,True
53,A,clean,T013-S0,7,114/8671,0.48822269807280516,True
54,A,clean,T013-S0,2,28315215/73163811682,0.0052357058072200376,True
54,A,clean,T013-S0,6,0,0.0,True
54,A,clean,T013-S0,7,8911472855/219491435046,0.5492671246160674,True
55,A,clean,T013-S0,0,0,0.0,True
55,A,clean,T013-S0,8,0,0.0,True
56,A,clean,T013-S0,3,-5037005/189716007,,False
56,A,clean,T013-S0,4,0,,False
56,A,clean,T013-S0,6,0,,False
56,A,clean,T013-S0,9,-5037005/189716007,,False
57,A,clean,T013-S0,0,0,,False
57,A,clean,T013-S0,1,0,,False
57,A,clean,T013-S0,3,73786/2891629,,False
57,A,clean,T013-S0,4,-17382121/433744350,,False
57,A,clean,T013-S0,6,-17382121/433744350,,False
58,A,clean,T013-S0,0,0,,False
58,A,clean,T013-S0,9,0,,False
59,A,clean,T013-S0,0,0,0.0,True
59,A,clean,T013-S0,1,0,0.0,True
59,A,clean,T013-S0,3,0,0.0,True
59,A,clean,T013-S0,5,0,0.0,True
59,A,clean,T013-S0,6,0,0.0,True
60,A,clean,T013-S0,0,0,0.0,True
61,A,clean,T013-S0,0,-1/150,-0.33451015004413065,True
61,A,clean,T013-S0,4,-1/150,-0.33451015004413065,True
61,A,clean,T013-S0,5,1/150,0.33451015004413065,True
61,A,clean,T013-S0,7,1/150,0.33451015004413065,True
62,A,clean,T013-S0,0,0,0.0,True
62,A,clean,T013-S0,5,0,0.0,True
62,A,clean,T013-S0,6,0,0.0,True
62,A,clean,T013-S0,9,0,0.0,True
63,A,clean,T013-S0,3,0,,False
63,A,clean,T013-S0,4,0,,False
63,A,clean,T013-S0,6,0,,False
64,A,clean,T013-S0,1,0,0.0,True
64,A,clean,T013-S0,3,387071/7081347975,0.0009077336591469714,True
64,A,clean,T013-S0,5,387071/7081347975,0.0009077336591469714,True
64,A,clean,T013-S0,8,387071/7081347975,0.0009077336591469714,True
64,A,clean,T013-S0,9,0,0.0,True
65,A,clean,T013-S0,5,0,0.0,True
66,A,clean,T013-S0,7,0,0.0,True
66,A,clean,T013-S0,8,0,0.0,True
66,A,clean,T013-S0,9,0,0.0,True
67,A,clean,T013-S0,1,0,0.0,True
67,A,clean,T013-S0,2,0,0.0,True
67,A,clean,T013-S0,5,0,0.0,True
67,A,clean,T013-S0,7,0,0.0,True
67,A,clean,T013-S0,8,0,0.0,True
68,A,clean,T013-S0,1,0,0.0,True
68,A,clean,T013-S0,7,0,0.0,True
68,A,clean,T013-S0,9,0,0.0,True
69,A,clean,T013-S0,2,0,0.0,True
69,A,clean,T013-S0,5,0,0.0,True
69,A,clean,T013-S0,7,0,0.0,True
70,A,clean,T013-S0,0,0,0.0,True
70,A,clean,T013-S0,8,0,0.0,True
71,A,clean,T013-S0,4,0,0.0,True
71,A,clean,T013-S0,5,280879/42018450,376.51340482573727,True
71,A,clean,T013-S0,8,0,0.0,True
72,A,clean,T013-S0,0,0,0.0,True
72,A,clean,T013-S0,5,871181/42694350,0.3797738134316094,True
72,A,clean,T013-S0,8,0,0.0,True
73,A,clean,T013-S0,5,0,0.0,True
73,A,clean,T013-S0,6,0,0.0,True
73,A,clean,T013-S0,7,0,0.0,True
74,A,clean,T013-S0,6,0,,False
75,A,clean,T013-S0,0,1985641/12918594,5.828788737190345,True
75,A,clean,T013-S0,1,0,0.0,True
75,A,clean,T013-S0,3,1985641/12918594,5.828788737190345,True
76,A,clean,T013-S0,1,0,,False
76,A,clean,T013-S0,6,351061/8827078,,False
76,A,clean,T013-S0,7,0,,False
77,A,clean,T013-S0,0,0,0.0,True
77,A,clean,T013-S0,2,0,0.0,True
78,A,clean,T013-S0,4,0,0.0,True
78,A,clean,T013-S0,5,0,0.0,True
78,A,clean,T013-S0,8,0,0.0,True
79,A,clean,T013-S0,1,0,0.0,True
79,A,clean,T013-S0,2,0,0.0,True
79,A,clean,T013-S0,5,0,0.0,True
80,A,clean,T013-S0,6,0,,False
80,A,clean,T013-S0,7,0,,False
81,A,clean,T013-S0,7,0,0.0,True
81,A,clean,T013-S0,9,0,0.0,True
82,A,clean,T013-S0,3,0,0.0,True
82,A,clean,T013-S0,7,0,0.0,True
83,A,clean,T013-S0,4,0,0.0,True
83,A,clean,T013-S0,7,0,0.0,True
83,A,clean,T013-S0,8,0,0.0,True
84,A,clean,T013-S0,2,4950/256027,,False
84,A,clean,T013-S0,3,0,,False
84,A,clean,T013-S0,6,0,,False
85,A,clean,T013-S0,5,0,0.0,True
85,A,clean,T013-S0,6,0,0.0,True
86,A,clean,T013-S0,2,0,0.0,True
86,A,clean,T013-S0,4,2518/37725,1.0,True
86,A,clean,T013-S0,5,2/75,0.3995234312946783,True
86,A,clean,T013-S0,6,0,0.0,True
87,A,clean,T013-S0,3,501/37550,,False
87,A,clean,T013-S0,5,186001/9274850,,False
88,A,clean,T013-S0,3,0,,False
88,A,clean,T013-S0,4,0,,False
88,A,clean,T013-S0,6,0,,False
88,A,clean,T013-S0,9,0,,False
89,A,clean,T013-S0,4,89978629434/1343841070975,0.9095582189365361,True
89,A,clean,T013-S0,5,0,0.0,True
90,A,clean,T013-S0,2,0,0.0,True
90,A,clean,T013-S0,3,0,0.0,True
90,A,clean,T013-S0,5,0,0.0,True
90,A,clean,T013-S0,9,0,0.0,True
91,A,clean,T013-S0,3,0,0.0,True
91,A,clean,T013-S0,7,0,0.0,True
91,A,clean,T013-S0,9,-5/21489,-0.03636363636363636,True
92,A,clean,T013-S0,1,-3018/224549,-0.5011624045167719,True
92,A,clean,T013-S0,3,0,0.0,True
92,A,clean,T013-S0,8,0,0.0,True
93,A,clean,T013-S0,4,-2/299,-1.0078817066693284,True
94,A,clean,T013-S0,1,0,0.0,True
94,A,clean,T013-S0,5,0,0.0,True
95,A,clean,T013-S0,1,0,0.0,True
95,A,clean,T013-S0,5,0,0.0,True
95,A,clean,T013-S0,6,0,0.0,True
96,A,clean,T013-S0,7,0,0.0,True
96,A,clean,T013-S0,9,20/1527,1.8697033026707697,True
97,A,clean,T013-S0,2,0,0.0,True
97,A,clean,T013-S0,3,0,0.0,True
97,A,clean,T013-S0,9,0,0.0,True
98,A,clean,T013-S0,5,0,0.0,True
98,A,clean,T013-S0,6,0,0.0,True
98,A,clean,T013-S0,9,0,0.0,True
99,A,clean,T013-S0,0,0,0.0,True
99,A,clean,T013-S0,3,0,0.0,True
99,A,clean,T013-S0,4,0,0.0,True
99,A,clean,T013-S0,5,0,0.0,True
99,A,clean,T013-S0,7,0,0.0,True
99,A,clean,T013-S0,9,0,0.0,True
0,A,clean,T013-S1,1,1573679/26481234,0.5986700271054258,True
0,A,clean,T013-S1,6,-527473/13240617,-0.40132997289457417,True
0,A,clean,T013-S1,7,1573679/26481234,0.5986700271054258,True
1,A,clean,T013-S1,1,0,0.0,True
1,A,clean,T013-S1,7,0,0.0,True
2,A,clean,T013-S1,3,0,0.0,True
2,A,clean,T013-S1,4,-5/754,-0.5,True
2,A,clean,T013-S1,9,-865/42978,-1.5175438596491229,True
3,A,clean,T013-S1,0,0,0.0,True
4,A,clean,T013-S1,4,0,0.0,True
4,A,clean,T013-S1,5,0,0.0,True
4,A,clean,T013-S1,9,0,0.0,True
5,A,clean,T013-S1,0,0,0.0,True
5,A,clean,T013-S1,2,2250469/28595550,0.9153784891023513,True
5,A,clean,T013-S1,5,0,0.0,True
6,A,clean,T013-S1,0,0,,False
6,A,clean,T013-S1,3,0,,False
6,A,clean,T013-S1,6,-7335/125723,,False
7,A,clean,T013-S1,1,0,0.0,True
7,A,clean,T013-S1,3,0,0.0,True
8,A,clean,T013-S1,0,0,0.0,True
8,A,clean,T013-S1,5,0,0.0,True
9,A,clean,T013-S1,7,0,0.0,True
9,A,clean,T013-S1,8,0,0.0,True
10,A,clean,T013-S1,2,155944909/2131727078,2.1980021549534188,True
10,A,clean,T013-S1,3,-20222675/278051358,-2.1852548672925267,True
10,A,clean,T013-S1,4,155944909/2131727078,2.1980021549534188,True
11,A,clean,T013-S1,2,0,0.0,True
11,A,clean,T013-S1,8,0,0.0,True
12,A,clean,T013-S1,2,0,0.0,True
12,A,clean,T013-S1,7,0,0.0,True
13,A,clean,T013-S1,1,0,0.0,True
13,A,clean,T013-S1,3,0,0.0,True
13,A,clean,T013-S1,5,0,0.0,True
14,A,clean,T013-S1,1,0,0.0,True
14,A,clean,T013-S1,2,0,0.0,True
15,A,clean,T013-S1,4,0,0.0,True
16,A,clean,T013-S1,1,0,,False
16,A,clean,T013-S1,4,0,,False
16,A,clean,T013-S1,6,0,,False
16,A,clean,T013-S1,8,0,,False
16,A,clean,T013-S1,9,0,,False
17,A,clean,T013-S1,1,0,,False
17,A,clean,T013-S1,4,0,,False
17,A,clean,T013-S1,8,11932/224549,,False
18,A,clean,T013-S1,0,0,,False
18,A,clean,T013-S1,3,0,,False
18,A,clean,T013-S1,6,0,,False
19,A,clean,T013-S1,0,0,0.0,True
19,A,clean,T013-S1,2,0,0.0,True
19,A,clean,T013-S1,7,0,0.0,True
20,A,clean,T013-S1,6,0,,False
21,A,clean,T013-S1,4,0,0.0,True
22,A,clean,T013-S1,1,0,,False
22,A,clean,T013-S1,2,0,,False
23,A,clean,T013-S1,0,0,0.0,True
23,A,clean,T013-S1,2,0,0.0,True
23,A,clean,T013-S1,5,60115/1133259,1.341345502842993,True
23,A,clean,T013-S1,8,60115/1133259,1.341345502842993,True
23,A,clean,T013-S1,9,0,0.0,True
24,A,clean,T013-S1,3,0,0.0,True
24,A,clean,T013-S1,7,0,0.0,True
24,A,clean,T013-S1,9,11671736/251571723,0.9986924687611094,True
25,A,clean,T013-S1,0,0,,False
25,A,clean,T013-S1,1,0,,False
25,A,clean,T013-S1,4,4/299,,False
26,A,clean,T013-S1,5,0,,False
26,A,clean,T013-S1,6,0,,False
27,A,clean,T013-S1,1,18/299,0.3103448275862069,True
28,A,clean,T013-S1,0,0,,False
28,A,clean,T013-S1,2,0,,False
28,A,clean,T013-S1,3,-10/741,,False
28,A,clean,T013-S1,4,0,,False
28,A,clean,T013-S1,5,0,,False
28,A,clean,T013-S1,8,0,,False
29,A,clean,T013-S1,1,0,0.0,True
30,A,clean,T013-S1,2,17629/75450,0.83104699948145,True
30,A,clean,T013-S1,4,3507/25150,0.4959694526941027,True
30,A,clean,T013-S1,5,3507/25150,0.4959694526941027,True
31,A,clean,T013-S1,8,0,0.0,True
32,A,clean,T013-S1,0,0,0.0,True
32,A,clean,T013-S1,2,0,0.0,True
32,A,clean,T013-S1,4,0,0.0,True
32,A,clean,T013-S1,5,0,0.0,True
32,A,clean,T013-S1,8,0,0.0,True
33,A,clean,T013-S1,0,0,,False
33,A,clean,T013-S1,3,33175/561678,,False
34,A,clean,T013-S1,2,45/124241,0.027327935222672066,True
34,A,clean,T013-S1,3,0,0.0,True
34,A,clean,T013-S1,8,0,0.0,True
35,A,clean,T013-S1,1,10444/224549,,False
35,A,clean,T013-S1,8,0,,False
36,A,clean,T013-S1,0,0,0.0,True
36,A,clean,T013-S1,1,-10/1527,-0.9875573018991487,True
36,A,clean,T013-S1,6,-10/1527,-0.9875573018991487,True
36,A,clean,T013-S1,7,5/754,1.0,True
36,A,clean,T013-S1,9,0,0.0,True
37,A,clean,T013-S1,2,0,0.0,True
37,A,clean,T013-S1,6,0,0.0,True
37,A,clean,T013-S1,9,0,0.0,True
38,A,clean,T013-S1,8,0,,False
39,A,clean,T013-S1,2,0,0.0,True
40,A,clean,T013-S1,9,-5/741,,False
41,A,clean,T013-S1,0,0,,False
41,A,clean,T013-S1,1,0,,False
41,A,clean,T013-S1,3,-1285/185497,,False
41,A,clean,T013-S1,9,0,,False
42,A,clean,T013-S1,0,-3158/451191,-0.5651003612371867,True
42,A,clean,T013-S1,1,0,0.0,True
42,A,clean,T013-S1,2,162923/13153953,1.0,True
43,A,clean,T013-S1,0,0,0.0,True
43,A,clean,T013-S1,4,0,0.0,True
44,A,clean,T013-S1,0,0,0.0,True
44,A,clean,T013-S1,8,-35/569258,-0.009320905459387484,True
44,A,clean,T013-S1,9,-35/569258,-0.009320905459387484,True
45,A,clean,T013-S1,2,0,0.0,True
45,A,clean,T013-S1,4,0,0.0,True
45,A,clean,T013-S1,5,0,0.0,True
45,A,clean,T013-S1,8,0,0.0,True
46,A,clean,T013-S1,2,0,0.0,True
46,A,clean,T013-S1,4,0,0.0,True
46,A,clean,T013-S1,5,0,0.0,True
47,A,clean,T013-S1,0,0,,False
47,A,clean,T013-S1,1,0,,False
47,A,clean,T013-S1,2,0,,False
47,A,clean,T013-S1,4,0,,False
47,A,clean,T013-S1,8,0,,False
48,A,clean,T013-S1,4,-15/754,-0.5987158908507223,True
48,A,clean,T013-S1,7,-702985/106590718,-0.19848493190522778,True
48,A,clean,T013-S1,9,-1890/142883,-0.3980907770300317,True
49,A,clean,T013-S1,1,0,0.0,True
49,A,clean,T013-S1,3,-303/5681,-2.6735294117647057,True
50,A,clean,T013-S1,2,1331651/22559550,0.9890478068504311,True
50,A,clean,T013-S1,5,0,0.0,True
51,A,clean,T013-S1,3,0,,False
51,A,clean,T013-S1,4,0,,False
51,A,clean,T013-S1,9,0,,False
52,A,clean,T013-S1,0,0,,False
52,A,clean,T013-S1,2,0,,False
53,A,clean,T013-S1,1,22/667,0.7053020961775586,True
53,A,clean,T013-S1,7,22/667,0.7053020961775586,True
54,A,clean,T013-S1,2,19408435/579133074,0.4533815519655121,True
54,A,clean,T013-S1,6,0,0.0,True
54,A,clean,T013-S1,7,8911472855/219491435046,0.5492671246160674,True
55,A,clean,T013-S1,0,0,0.0,True
55,A,clean,T013-S1,8,0,0.0,True
56,A,clean,T013-S1,3,-5037005/189716007,,False
56,A,clean,T013-S1,4,0,,False
56,A,clean,T013-S1,6,0,,False
56,A,clean,T013-S1,9,-5037005/189716007,,False
57,A,clean,T013-S1,0,0,,False
57,A,clean,T013-S1,1,0,,False
57,A,clean,T013-S1,3,73786/2891629,,False
57,A,clean,T013-S1,4,-17382121/433744350,,False
57,A,clean,T013-S1,6,-17382121/433744350,,False
58,A,clean,T013-S1,0,0,,False
58,A,clean,T013-S1,9,0,,False
59,A,clean,T013-S1,0,0,0.0,True
59,A,clean,T013-S1,1,0,0.0,True
59,A,clean,T013-S1,3,0,0.0,True
59,A,clean,T013-S1,5,0,0.0,True
59,A,clean,T013-S1,6,0,0.0,True
60,A,clean,T013-S1,0,0,0.0,True
61,A,clean,T013-S1,0,0,0.0,True
61,A,clean,T013-S1,4,0,0.0,True
61,A,clean,T013-S1,5,1/75,0.6690203000882613,True
61,A,clean,T013-S1,7,1/75,0.6690203000882613,True
62,A,clean,T013-S1,0,0,0.0,True
62,A,clean,T013-S1,5,-5/758,-0.9556507938097359,True
62,A,clean,T013-S1,6,0,0.0,True
62,A,clean,T013-S1,9,0,0.0,True
63,A,clean,T013-S1,3,0,,False
63,A,clean,T013-S1,4,0,,False
63,A,clean,T013-S1,6,0,,False
64,A,clean,T013-S1,1,0,0.0,True
64,A,clean,T013-S1,3,0,0.0,True
64,A,clean,T013-S1,5,0,0.0,True
64,A,clean,T013-S1,8,0,0.0,True
64,A,clean,T013-S1,9,-220566651/4720898650,-0.7758877823371797,True
65,A,clean,T013-S1,5,0,0.0,True
66,A,clean,T013-S1,7,0,0.0,True
66,A,clean,T013-S1,8,0,0.0,True
66,A,clean,T013-S1,9,0,0.0,True
67,A,clean,T013-S1,1,0,0.0,True
67,A,clean,T013-S1,2,0,0.0,True
67,A,clean,T013-S1,5,0,0.0,True
67,A,clean,T013-S1,7,0,0.0,True
67,A,clean,T013-S1,8,0,0.0,True
68,A,clean,T013-S1,1,0,0.0,True
68,A,clean,T013-S1,7,0,0.0,True
68,A,clean,T013-S1,9,0,0.0,True
69,A,clean,T013-S1,2,0,0.0,True
69,A,clean,T013-S1,5,0,0.0,True
69,A,clean,T013-S1,7,0,0.0,True
70,A,clean,T013-S1,0,0,0.0,True
70,A,clean,T013-S1,8,0,0.0,True
71,A,clean,T013-S1,4,0,0.0,True
71,A,clean,T013-S1,5,280879/42018450,376.51340482573727,True
71,A,clean,T013-S1,8,0,0.0,True
72,A,clean,T013-S1,0,0,0.0,True
72,A,clean,T013-S1,5,871181/42694350,0.3797738134316094,True
72,A,clean,T013-S1,8,0,0.0,True
73,A,clean,T013-S1,5,0,0.0,True
73,A,clean,T013-S1,6,0,0.0,True
73,A,clean,T013-S1,7,0,0.0,True
74,A,clean,T013-S1,6,0,,False
75,A,clean,T013-S1,0,1985641/12918594,5.815847975654548,True
75,A,clean,T013-S1,1,0,0.0,True
75,A,clean,T013-S1,3,1985641/12918594,5.815847975654548,True
76,A,clean,T013-S1,1,0,,False
76,A,clean,T013-S1,6,-183241/14391975,,False
76,A,clean,T013-S1,7,0,,False
77,A,clean,T013-S1,0,0,0.0,True
77,A,clean,T013-S1,2,0,0.0,True
78,A,clean,T013-S1,4,0,0.0,True
78,A,clean,T013-S1,5,0,0.0,True
78,A,clean,T013-S1,8,0,0.0,True
79,A,clean,T013-S1,1,0,0.0,True
79,A,clean,T013-S1,2,0,0.0,True
79,A,clean,T013-S1,5,0,0.0,True
80,A,clean,T013-S1,6,0,,False
80,A,clean,T013-S1,7,0,,False
81,A,clean,T013-S1,7,0,0.0,True
81,A,clean,T013-S1,9,0,0.0,True
82,A,clean,T013-S1,3,0,0.0,True
82,A,clean,T013-S1,7,0,0.0,True
83,A,clean,T013-S1,4,0,0.0,True
83,A,clean,T013-S1,7,0,0.0,True
83,A,clean,T013-S1,8,0,0.0,True
84,A,clean,T013-S1,2,4950/256027,,False
84,A,clean,T013-S1,3,0,,False
84,A,clean,T013-S1,6,0,,False
85,A,clean,T013-S1,5,0,0.0,True
85,A,clean,T013-S1,6,0,0.0,True
86,A,clean,T013-S1,2,0,0.0,True
86,A,clean,T013-S1,4,2518/37725,1.0,True
86,A,clean,T013-S1,5,0,0.0,True
86,A,clean,T013-S1,6,0,0.0,True
87,A,clean,T013-S1,3,-31127/4637425,,False
87,A,clean,T013-S1,5,0,,False
88,A,clean,T013-S1,3,0,,False
88,A,clean,T013-S1,4,0,,False
88,A,clean,T013-S1,6,0,,False
88,A,clean,T013-S1,9,0,,False
89,A,clean,T013-S1,4,89978629434/1343841070975,0.9095582189365361,True
89,A,clean,T013-S1,5,0,0.0,True
90,A,clean,T013-S1,2,0,0.0,True
90,A,clean,T013-S1,3,0,0.0,True
90,A,clean,T013-S1,5,0,0.0,True
90,A,clean,T013-S1,9,0,0.0,True
91,A,clean,T013-S1,3,0,0.0,True
91,A,clean,T013-S1,7,0,0.0,True
91,A,clean,T013-S1,9,-5/21489,-0.03636363636363636,True
92,A,clean,T013-S1,1,-3018/224549,-0.5011624045167719,True
92,A,clean,T013-S1,3,0,0.0,True
92,A,clean,T013-S1,8,0,0.0,True
93,A,clean,T013-S1,4,-5/373,,False
94,A,clean,T013-S1,1,0,0.0,True
94,A,clean,T013-S1,5,0,0.0,True
95,A,clean,T013-S1,1,0,0.0,True
95,A,clean,T013-S1,5,0,0.0,True
95,A,clean,T013-S1,6,0,0.0,True
96,A,clean,T013-S1,7,0,0.0,True
96,A,clean,T013-S1,9,20/1527,1.8697033026707697,True
97,A,clean,T013-S1,2,0,0.0,True
97,A,clean,T013-S1,3,0,0.0,True
97,A,clean,T013-S1,9,0,0.0,True
98,A,clean,T013-S1,5,0,0.0,True
98,A,clean,T013-S1,6,0,0.0,True
98,A,clean,T013-S1,9,0,0.0,True
99,A,clean,T013-S1,0,0,0.0,True
99,A,clean,T013-S1,3,0,0.0,True
99,A,clean,T013-S1,4,0,0.0,True
99,A,clean,T013-S1,5,0,0.0,True
99,A,clean,T013-S1,7,0,0.0,True
99,A,clean,T013-S1,9,0,0.0,True
0,A,clean,T013-S2,1,1222469/26481234,0.4650602501307718,True
0,A,clean,T013-S2,6,-703078/13240617,-0.5349397498692282,True
0,A,clean,T013-S2,7,1222469/26481234,0.4650602501307718,True
1,A,clean,T013-S2,1,0,0.0,True
1,A,clean,T013-S2,7,0,0.0,True
2,A,clean,T013-S2,3,0,0.0,True
2,A,clean,T013-S2,4,-5/754,-0.5,True
2,A,clean,T013-S2,9,-5/741,-0.5087719298245614,True
3,A,clean,T013-S2,0,0,0.0,True
4,A,clean,T013-S2,4,0,0.0,True
4,A,clean,T013-S2,5,0,0.0,True
4,A,clean,T013-S2,9,0,0.0,True
5,A,clean,T013-S2,0,0,0.0,True
5,A,clean,T013-S2,2,2250469/28595550,0.9153784891023513,True
5,A,clean,T013-S2,5,250611/4765925,0.611616294734376,True
6,A,clean,T013-S2,0,0,,False
6,A,clean,T013-S2,3,0,,False
6,A,clean,T013-S2,6,-7335/125723,,False
7,A,clean,T013-S2,1,0,0.0,True
7,A,clean,T013-S2,3,0,0.0,True
8,A,clean,T013-S2,0,0,0.0,True
8,A,clean,T013-S2,5,0,0.0,True
9,A,clean,T013-S2,7,0,0.0,True
