salt,bank,target,class_capture,hybrid_minus_two_factor,hybrid_minus_client_only,class_context_minus_context_only,hybrid_minus_uniform,hybrid_minus_mismatch_mean,mismatch_mean,mismatch_min,mismatch_max
T013-S0,A,brightness_dark,0.9485582645756337,1.782238214907339,9.544012938484874,10.740717993851394,1.5329229587911486,5.320877027257085,29.582671083108387,28.15542829332609,31.23111311546954
T013-S0,A,contrast_low,0.9360728541250418,3.333812389016126,4.876810345632639,5.117163798102374,3.2604516064588727,4.406110018130215,28.8325506636845,27.904947016687334,29.463950440751802
T013-S0,A,gaussian_noise,0.8555820839698569,0.06703135372705374,0.15205895413619608,6.065873046885654,0.10733234423415049,0.13916344717179002,36.887277550826006,36.69951820643318,37.09312731690229
T013-S0,A,gaussian_blur,0.8677903605766305,0.5703799310108709,0.8291956334689949,10.239023998667603,0.5159014534874675,0.9041142631700136,38.44599493121939,37.85997362940161,38.77234519295535
T013-S0,B,brightness_dark,0.9531945770007147,1.6982170996567862,9.481595132115253,15.336701494079316,1.6061721416286672,5.270313784169402,29.68239259965901,28.082699970887113,31.539928801881167
T013-S0,B,contrast_low,0.9218729239501363,3.118535115080341,4.71291014893317,5.50378249936678,3.130869394832333,4.276610524583934,28.683068729736817,27.863632330730713,29.35363317834526
T013-S0,B,gaussian_noise,0.8359437322510507,0.03272687272366921,0.14570397213007424,6.135635551590624,-0.03979760300974699,0.06744629924288408,36.87405610333069,36.66942554350921,37.07936292635166
T013-S0,B,gaussian_blur,0.8602790734523034,0.7458389188439073,0.7977949314441224,11.578604704028027,0.7582997874121381,0.9039992145213613,38.40924645553734,37.90312640942133,38.786470647854216
T013-S1,A,brightness_dark,0.9502456914651606,2.4811065331192514,9.361708685286672,8.684138318011916,1.4468374674176028,5.152629040245783,29.81926377968113,28.230551312712706,31.28627843154399
T013-S1,A,contrast_low,0.9275805707889918,3.256065302160167,5.0778125691450136,5.212830199232589,3.2426562021419083,4.361962890731328,28.809202004430716,28.15240498304915,29.832427762726383
T013-S1,A,gaussian_noise,0.8549817068668548,-0.07848722353507022,0.21977276744925425,5.598162438188712,0.0013807919330449932,0.14528435774044676,36.92048532135271,36.61864920383924,37.11128602488518
T013-S1,A,gaussian_blur,0.8537873042993526,0.7461537247463857,0.9666447681507139,10.078763290242565,0.5778200692144201,1.0708215505643168,38.226995181361744,37.776119483825745,38.49363958788246
T013-S1,B,brightness_dark,0.9559492695973222,2.60767441704921,9.356970964037036,15.317290511119351,2.108989365946788,5.27750670410384,29.768357048001043,28.382025084334828,31.144724892478212
T013-S1,B,contrast_low,0.931114628347284,3.188835253652781,4.860516446538949,5.405354647533886,2.9331781457991855,4.278886939142443,28.822673419223534,28.16531768107869,29.279272641298864
T013-S1,B,gaussian_noise,0.8192311905417563,0.03523505240300349,0.35077938167749456,6.434347290106101,-0.01921608612775725,0.003792938157387122,36.85088965805672,36.69379377184656,37.02059581392686
T013-S1,B,gaussian_blur,0.86986388018527,1.1364787363939002,1.0162936585804307,11.537519390155603,1.0778214475430368,1.270645647437667,38.18122016725002,37.88986348920893,38.45683833844386
T013-S2,A,brightness_dark,0.9459835597412203,1.6696902925910517,8.985575221452509,12.99446091706281,1.7452093209151025,5.2944132591273645,29.623242476068107,28.226279988831042,31.196801502373354
