salt,bank,target,factor_capture,two_minus_client,two_minus_context,two_minus_mean_mismatch,mismatch_mean,mismatch_min,mismatch_max
T013-S0,A,clean,0.8407814275959522,0.0,5.772385024505814,7.295535858997333,32.61553908527702,31.51476411152267,33.692104728892495
T013-S0,A,brightness_dark,0.8511620566559701,7.761774723577536,8.35401211724269,5.454635466866205,27.66667442859193,26.213552503233068,29.366974033427216
T013-S0,A,contrast_low,0.7011411307135998,1.5429979566165122,1.3433748722925731,4.59897188993306,25.30587640286553,23.15459230540695,26.968040547085508
T013-S0,A,gaussian_noise,0.846550169407927,0.08502760040914234,5.459382956565222,6.670674848427449,30.288734795843297,28.844701380600306,31.534295580564223
T013-S0,A,gaussian_blur,0.8092038129842752,0.25881570245812413,8.981592087686208,8.178772557410392,30.60095670596814,29.358545990881318,32.08628069580212
T013-S0,B,clean,0.8343843888725231,0.0,5.614275925269238,6.9863734880622435,32.766592356975536,31.176062023722803,33.633765845212395
T013-S0,B,brightness_dark,0.8601997418852331,7.783378032458467,13.099056219200062,5.280358145817598,27.97413113835403,26.059173025840888,29.116909731260737
T013-S0,B,contrast_low,0.7008023855183328,1.594375033852829,1.7295186294162088,4.810629697786023,25.030514441454386,22.601433554531365,26.764442665085102
T013-S0,B,gaussian_noise,0.8315768620485834,0.11297709940640503,5.430793507343744,6.974544369257906,29.934231160591995,27.924867638211214,30.824912500099337
T013-S0,B,gaussian_blur,0.7840005364330102,0.051956012600215054,10.213171766057302,8.445618559765219,30.12178819144958,29.049815493383445,31.581213840969713
T013-S1,A,clean,0.8311610930193293,0.0,5.683542616938382,7.076731865110514,32.74550067159641,31.71251564044934,33.772679904801414
T013-S1,A,brightness_dark,0.8149490729968152,6.88060215216742,5.72024624320601,4.953488430443308,27.537297856364354,26.241513395214792,29.559426962777273
T013-S1,A,contrast_low,0.6990480679612018,1.8217472669848458,1.3536261724958607,4.59175896841146,25.32334062459042,23.760242264788616,26.923164808627934
T013-S1,A,gaussian_noise,0.8654847306224718,0.2982599909843245,5.057074390213513,6.570493451017103,30.573763451611125,29.777364997620296,31.480607302300914
T013-S1,A,gaussian_blur,0.7779132508302802,0.22049104340432815,8.753525831487352,7.762782363386395,30.78888064379328,29.511544086221505,32.06314377030927
T013-S1,B,clean,0.791394995981064,0.0,5.341655786001336,6.903167922208263,32.57717778356161,30.499693119852616,34.016052704580126
T013-S1,B,brightness_dark,0.8135019764087258,6.749296546987826,12.282756270084109,4.90639657713788,27.531792757917795,25.326244490380247,29.056677570797092
T013-S1,B,contrast_low,0.7052585341021192,1.671681192886168,1.8010995948889974,4.855608200023245,25.057116904689952,22.928956613302834,26.241123188884877
T013-S1,B,gaussian_noise,0.8145588899749421,0.3155443292744911,5.566470037681851,6.841645055576781,29.977802488234328,28.45861074523629,30.79847896262415
T013-S1,B,gaussian_blur,0.7542441535980053,-0.12018507781346931,9.961152093136292,8.082863942801202,30.23252313549258,28.875566834421207,31.23426731754606
T013-S2,A,clean,0.8562457063897874,0.0,5.837041401649558,7.204925106441637,32.77080621497646,31.69946957890279,33.9164451409764
