bank,quartile,target,n,accuracy,median_score_margin
A,1,clean,25,88.0,11.479176969638214
A,1,gaussian_blur,25,88.0,12.244904198221672
A,1,all,125,93.6,19.224368547781317
A,2,clean,25,100.0,11.30693584303946
A,2,gaussian_blur,25,100.0,15.38075143658441
A,2,all,125,100.0,21.361560076940364
A,3,clean,25,92.0,11.92744429121807
A,3,gaussian_blur,25,96.0,16.046761930960177
A,3,all,125,97.6,20.94919264470024
A,4,clean,25,100.0,13.379987379718603
A,4,gaussian_blur,25,100.0,13.927621101885679
A,4,all,125,100.0,20.271256895516892
B,1,clean,25,88.0,11.809622616912034
B,1,gaussian_blur,25,88.0,11.410332073434603
B,1,all,125,94.4,19.91748577439076
B,2,clean,25,100.0,11.645819447035155
B,2,gaussian_blur,25,100.0,15.792179537357281
B,2,all,125,100.0,22.54605851698905
B,3,clean,25,92.0,10.749763359821015
B,3,gaussian_blur,25,96.0,16.617743052109116
B,3,all,125,97.6,19.421815319791232
B,4,clean,25,100.0,14.437471394717996
B,4,gaussian_blur,25,100.0,13.837713862856525
B,4,all,125,100.0,21.447129704639003
